Anatomical Name,Phenotype
A8m,0.06484846770763397
A8dl,1.5434715747833252
A9l,1.8478493690490723
A6dl,-0.45215266942977905
A6m,-1.1752656698226929
A9m,1.0744425058364868
A10m,1.6796650886535645
A9/46d,0.3365406095981598
IFJ,1.3758206367492676
A46,1.0886714458465576
A9/46v,0.6192483901977539
A8vl,1.3179270029067993
A6vl,0.6404373645782471
A10l,1.5138598680496216
A44d,0.1608288735151291
IFS,0.3492576777935028
A45c,1.3714568614959717
A45r,0.9799680709838867
A44op,0.05492161214351654
A44v,0.10539259016513824
A14m,1.5196313858032227
A12/47o,1.5328489542007446
A11l,0.8259466290473938
A11m,1.8152521848678589
A13,0.9846641421318054
A12/47l,1.1801254749298096
A32p,-0.10070489346981049
A32sg,1.1494202613830566
A24cd,-0.9022687077522278
A24rv,0.37486329674720764
A4hf,-1.238686203956604
A6cdl,-1.11538827419281
A4ul,-1.334989070892334
A4t,-1.336927890777588
A4tl,-1.0928157567977905
A6cvl,-0.4228841960430145
A1/2/3ll,-1.221136212348938
A4ll,-1.3405464887619019
A1/2/3ulhf,-1.3223100900650024
A1/2/3tonIa,-1.2208409309387207
A2,-1.3416162729263306
A1/2/3tru,-1.2989921569824219
A7r,-0.9655410647392273
A7c,-0.4556213617324829
A5l,-0.9476776123046875
A7pc,-1.2105618715286255
A7ip,-0.8421085476875305
A39c,-0.23891581594944
A39rd,1.2665824890136719
A40rd,-0.27848613262176514
A40c,0.9885426163673401
A39rv,1.1624011993408203
A40rv,-0.9489501714706421
A7m,0.44106853008270264
A5m,-0.872124195098877
dmPOS,0.4892711341381073
A31,1.4639638662338257
A23d,1.4115426540374756
A23c,-0.23643694818019867
A23v,0.4369044005870819
cLinG,-1.0811407566070557
rCunG,-1.116499900817871
cCunG,-1.0388532876968384
rLinG,-1.0781174898147583
vmPOS,-1.088419795036316
mOccG,-1.11687433719635
V5/MT+,-1.1418555974960327
OPC,-0.3271055221557617
iOccG,-0.9029934406280518
msOccG,-1.18989098072052
lsOccG,-0.8737503886222839
G,-1.1491416692733765
vIa,0.2134810835123062
dIa,-0.23345158994197845
vId/vIg,-0.9100889563560486
dIg,-1.1784261465072632
dId,-0.8826515078544617
A38m,1.0110111236572266
A41/42,-1.1086292266845703
TE1.0 and TE1.2,-1.0498223304748535
A22c,-0.784633457660675
A38l,0.1069018691778183
A22r,0.10099723190069199
A21c,1.637601613998413
A21r,1.7981603145599365
A37dl,-0.22317731380462646
aSTS,1.2201800346374512
A20iv,0.2304469794034958
A37elv,-0.0050244382582604885
A20r,0.8963168859481812
A20il,1.6522992849349976
A37vl,-0.409453809261322
A20cl,1.2550992965698242
A20cv,0.1524171233177185
A20rv,-0.04245278984308243
A37mv,-1.0702531337738037
A37lv,-0.6377875804901123
A35/36r,-0.021926363930106163
A35/36c,0.5372982621192932
lateral PPHC,0.46512019634246826
A28/34,1.1854000091552734
TI,-0.21426241099834442
TH,-0.6197746396064758
rpSTS,0.2187512218952179
cpSTS,-0.4387117326259613
mAmyg,-0.023430086947476052
lAmyg,0.03017750414507715
CA1,0.00833563423809517
CA4DG,-0.012049088502959016
CA2CA3,-0.09172237488465418
subiculum,0.04047957505320988
Claustrum,-0.05391115105993274
head of caudate,0.1550556952750229
body of caudate,0.10909435120826208
Putamen,-0.010395013154019868
posterovemtral putamen,0.28349987901913853
nucleus accumbens,0.19449594539602366
external segment of globus pallidus,0.03966234680785023
internal segment of globus pallidus,0.10426190563362225
mPMtha,0.15214540997811887
Stha,0.1711183073689129
cTtha,0.19623309916893872
Otha,0.28626047594908205
mPFtha,0.5682623273583193
lPFtha,0.22464379404644474
rTtha,0.7325103526203176
PPtha,0.46909636795972615
585156561
116,nucleus accumbens,4.002372571860586
117,external segment of globus pallidus,-1.5673102628649143
118,internal segment of globus pallidus,1.6531132107371842
119,mPMtha,0.15394361620858701
120,Stha,0.9857459578927414
121,cTtha,1.1861830550330592
122,Otha,2.2377516266114563
123,mPFtha,2.5329305129361614
124,lPFtha,2.300108073240095
125,rTtha,2.9571595193053963
126,PPtha,1.9738027447000093
